forecast_date,target,target_end_date,location,type,quantile,value
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.01,14
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.025,17
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.05,21
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.1,24
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.15,27
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.2,30
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.25,32
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.3,34
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.35,36
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.4,38
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.45,40
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.5,41
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.55,43
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.6,45
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.65,48
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.7,50
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.75,53
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.8,56
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.85,59
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.9,64
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.95,71
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.975,78
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,quantile,0.99,86
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,01,point,NA,43
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.01,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.025,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.05,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.1,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.15,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.2,1
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.25,1
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.3,2
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.35,2
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.4,2
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.45,3
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.5,3
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.55,4
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.6,4
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.65,5
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.7,6
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.75,7
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.8,8
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.85,9
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.9,11
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.95,14
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.975,17
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,quantile,0.99,20
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,02,point,NA,4
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.01,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.025,2
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.05,3
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.1,7
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.15,11
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.2,15
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.25,19
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.3,23
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.35,27
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.4,32
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.45,37
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.5,42
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.55,48
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.6,54
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.65,61
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.7,69
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.75,78
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.8,89
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.85,103
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.9,123
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.95,156
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.975,189
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,quantile,0.99,231
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,04,point,NA,54
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.01,4
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.025,7
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.05,9
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.1,13
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.15,16
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.2,19
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.25,21
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.3,24
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.35,26
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.4,28
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.45,31
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.5,33
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.55,36
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.6,39
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.65,42
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.7,45
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.75,49
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.8,54
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.85,59
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.9,66
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.95,78
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.975,90
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,quantile,0.99,104
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,05,point,NA,36
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.01,70
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.025,87
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.05,104
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.1,126
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.15,143
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.2,157
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.25,169
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.3,181
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.35,193
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.4,204
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.45,216
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.5,227
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.55,239
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.6,252
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.65,265
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.7,279
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.75,296
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.8,314
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.85,337
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.9,367
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.95,414
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.975,458
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,quantile,0.99,513
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,06,point,NA,236
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.01,22
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.025,26
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.05,30
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.1,35
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.15,39
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.2,42
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.25,45
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.3,47
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.35,50
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.4,52
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.45,55
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.5,57
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.55,60
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.6,62
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.65,65
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.7,68
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.75,71
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.8,75
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.85,79
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.9,85
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.95,94
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.975,103
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,quantile,0.99,113
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,08,point,NA,58
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.01,4
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.025,6
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.05,7
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.1,10
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.15,12
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.2,13
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.25,14
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.3,16
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.35,17
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.4,18
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.45,19
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.5,21
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.55,22
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.6,23
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.65,25
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.7,27
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.75,28
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.8,31
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.85,33
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.9,37
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.95,42
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.975,47
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,quantile,0.99,53
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,09,point,NA,22
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.01,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.025,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.05,0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.1,1
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.15,1
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.2,2
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.25,3
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.3,3
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.35,4
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.4,4
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.45,5
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.5,6
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.55,6
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.6,7
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.65,8
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.7,9
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.75,10
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.8,12
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,10,quantile,0.85,13
