forecast_date,target,target_end_date,location,type,quantile,value
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.01,286
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.025,298
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.05,309
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.1,322
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.15,331
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.2,338
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.25,344
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.3,350
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.35,355
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.4,360
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.45,365
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.5,370
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.55,375
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.6,380
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.65,385
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.7,391
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.75,397
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.8,404
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.85,412
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.9,422
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.95,437
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.975,451
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,quantile,0.99,467
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,01,point,NA,370
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.01,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.025,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.05,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.1,1
