forecast_date,target,target_end_date,location,type,quantile,value
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,point,NA,6
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,point,NA,5
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,point,NA,5
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,point,NA,5
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.01,0
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.01,0
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.01,0
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.01,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.025,0
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.025,0
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.025,0
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.025,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.05,1
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.05,0
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.05,0
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.05,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.1,2
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.1,1
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.1,0
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.1,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.15,3
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.15,2
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.15,1
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.15,1
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.2,3
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.2,3
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.2,2
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.2,2
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.25,4
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.25,3
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.25,3
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.25,2
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.3,4
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.3,4
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.3,3
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.3,3
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.35,5
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.35,4
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.35,4
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.35,3
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.4,5
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.4,4
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.4,4
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.4,4
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.45,5
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.45,5
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.45,5
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.45,4
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.5,6
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.5,5
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.5,5
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.5,5
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.55,6
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.55,6
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.55,5
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.55,5
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.6,6
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.6,6
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.6,6
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.6,6
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.65,7
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.65,6
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.65,6
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.65,6
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.7,7
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.7,7
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.7,7
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.7,7
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.75,8
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.75,7
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.75,7
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.75,7
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.8,8
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.8,8
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.8,8
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.8,8
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.85,9
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.85,9
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.85,9
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.85,9
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.9,9
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.9,9
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.9,9
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.9,9
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.95,10
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.95,11
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.95,11
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.95,11
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.975,11
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.975,12
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.975,12
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.975,12
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,02,quantile,0.99,12
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,02,quantile,0.99,13
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,02,quantile,0.99,13
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,02,quantile,0.99,13
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,point,NA,58
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,point,NA,68
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,point,NA,72
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,point,NA,79
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.01,5
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.01,0
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.01,0
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.01,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.025,13
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.025,9
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.025,0
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.025,0
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.05,20
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.05,18
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.05,10
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.05,5
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.1,29
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.1,29
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.1,24
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.1,21
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.15,34
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.15,37
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.15,33
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.15,32
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.2,39
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.2,43
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.2,40
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.2,41
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.25,43
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.25,48
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.25,47
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.25,48
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.3,46
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.3,52
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.3,52
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.3,55
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.35,49
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.35,56
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.35,58
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.35,61
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.4,52
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.4,60
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.4,63
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.4,67
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.45,55
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.45,64
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.45,68
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.45,73
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.5,58
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.5,68
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.5,72
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.5,79
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.55,61
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.55,72
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.55,77
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.55,84
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.6,64
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.6,76
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.6,82
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.6,90
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.65,67
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.65,80
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.65,87
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.65,96
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.7,70
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.7,84
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.7,92
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.7,102
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.75,74
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.75,88
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.75,98
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.75,109
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.8,78
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.8,93
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.8,104
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.8,117
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.85,82
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.85,99
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.85,112
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.85,125
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.9,88
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.9,107
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.9,121
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.9,136
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.95,96
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.95,118
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.95,135
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.95,153
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.975,103
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.975,127
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.975,147
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.975,167
2022-10-31,1 wk ahead inc flu hosp,2022-11-05,04,quantile,0.99,112
2022-10-31,2 wk ahead inc flu hosp,2022-11-12,04,quantile,0.99,138
2022-10-31,3 wk ahead inc flu hosp,2022-11-19,04,quantile,0.99,161
2022-10-31,4 wk ahead inc flu hosp,2022-11-26,04,quantile,0.99,184
