forecast_date,target,target_end_date,location,type,quantile,value
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,point,NA,72
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,point,NA,89
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,point,NA,100
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,point,NA,104
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.010,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.010,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.010,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.010,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.025,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.025,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.025,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.025,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.050,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.050,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.050,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.050,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.100,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.100,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.100,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.100,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.150,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.150,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.150,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.150,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.200,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.200,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.200,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.200,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.250,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.250,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.250,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.250,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.300,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.300,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.300,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.300,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.350,12
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.350,3
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.350,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.350,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.400,33
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.400,32
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.400,34
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.400,32
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.450,53
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.450,61
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.450,67
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.450,68
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.500,72
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.500,89
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.500,100
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.500,104
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.550,92
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.550,117
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.550,132
2023-06-01,4 month ahead inc flu hosp,2023-09-01,01,quantile,0.550,139
2023-06-01,1 month ahead inc flu hosp,2023-06-01,01,quantile,0.600,111
2023-06-01,2 month ahead inc flu hosp,2023-07-01,01,quantile,0.600,145
2023-06-01,3 month ahead inc flu hosp,2023-08-01,01,quantile,0.600,165
