date,epiyear,epiweek,location,flu.admits
2022-02-12,2022,6,US,1256
2022-02-19,2022,7,US,1573
2022-02-26,2022,8,US,1666
2022-03-05,2022,9,US,1942
2022-03-12,2022,10,US,2247
2022-03-19,2022,11,US,2878
2022-03-26,2022,12,US,3008
2022-04-02,2022,13,US,3182
2022-04-09,2022,14,US,3331
2022-04-16,2022,15,US,3415
2022-04-23,2022,16,US,3646
2022-04-30,2022,17,US,3250
2022-05-07,2022,18,US,3225
2022-05-14,2022,19,US,3300
2022-05-21,2022,20,US,3170
2022-05-28,2022,21,US,2800
2022-06-04,2022,22,US,2759
2022-06-11,2022,23,US,2224
2022-06-18,2022,24,US,1861
2022-06-25,2022,25,US,1432
2022-07-02,2022,26,US,1133
2022-07-09,2022,27,US,875
2022-07-16,2022,28,US,841
2022-07-23,2022,29,US,700
2022-07-30,2022,30,US,610
2022-08-06,2022,31,US,630
2022-08-13,2022,32,US,562
2022-08-20,2022,33,US,573
2022-08-27,2022,34,US,595
2022-09-03,2022,35,US,601
2022-09-10,2022,36,US,623
2022-09-17,2022,37,US,644
2022-09-24,2022,38,US,742
2022-10-01,2022,39,US,896
2022-10-08,2022,40,US,1331
2022-10-15,2022,41,US,1694
2022-10-22,2022,42,US,2380
2022-10-29,2022,43,US,4353
2022-11-05,2022,44,US,6571
2022-11-12,2022,45,US,8848
2022-11-19,2022,46,US,11427
2022-11-26,2022,47,US,19846
2022-12-03,2022,48,US,26333
2022-12-10,2022,49,US,23851
2022-12-17,2022,50,US,21421
2022-12-24,2022,51,US,19288
2022-12-31,2022,52,US,19369
2023-01-07,2023,1,US,12929
2023-01-14,2023,2,US,6686
2023-01-21,2023,3,US,4182
2023-01-28,2023,4,US,2837
2023-02-04,2023,5,US,2320
2023-02-11,2023,6,US,2152
2023-02-18,2023,7,US,1843
2023-02-25,2023,8,US,1657
2023-03-04,2023,9,US,1456
2023-03-11,2023,10,US,1397
2023-03-18,2023,11,US,1397
2023-03-25,2023,12,US,1315
2023-04-01,2023,13,US,1274
2023-04-08,2023,14,US,1211
2023-04-15,2023,15,US,1083
2023-04-22,2023,16,US,1013
2023-04-29,2023,17,US,946
2023-05-06,2023,18,US,943
2023-05-13,2023,19,US,989
2023-05-20,2023,20,US,961
2023-05-27,2023,21,US,961
2022-02-12,2022,6,01,12
2022-02-19,2022,7,01,20
2022-02-26,2022,8,01,14
2022-03-05,2022,9,01,35
2022-03-12,2022,10,01,30
2022-03-19,2022,11,01,30
2022-03-26,2022,12,01,25
2022-04-02,2022,13,01,32
2022-04-09,2022,14,01,29
2022-04-16,2022,15,01,19
2022-04-23,2022,16,01,30
