date,year,month,location,flu.admits
2020-01-01,2020,1,US,5
2020-02-01,2020,2,US,0
2020-03-01,2020,3,US,0
2020-04-01,2020,4,US,0
2020-05-01,2020,5,US,0
2020-06-01,2020,6,US,0
2020-07-01,2020,7,US,0
2020-08-01,2020,8,US,0
2020-09-01,2020,9,US,0
2020-10-01,2020,10,US,658
2020-11-01,2020,11,US,2366
2020-12-01,2020,12,US,3240
2021-01-01,2021,1,US,2697
2021-02-01,2021,2,US,1971
2021-03-01,2021,3,US,1825
2021-04-01,2021,4,US,1925
2021-05-01,2021,5,US,1376
2021-06-01,2021,6,US,1134
2021-07-01,2021,7,US,1429
2021-08-01,2021,8,US,1491
2021-09-01,2021,9,US,1329
2021-10-01,2021,10,US,1669
2021-11-01,2021,11,US,2427
2021-12-01,2021,12,US,7748
2022-01-01,2022,1,US,6325
2022-02-01,2022,2,US,5859
2022-03-01,2022,3,US,11870
2022-04-01,2022,4,US,14514
2022-05-01,2022,5,US,13726
2022-06-01,2022,6,US,7906
2022-07-01,2022,7,US,3367
2022-08-01,2022,8,US,2646
2022-09-01,2022,9,US,3018
2022-10-01,2022,10,US,11516
2022-11-01,2022,11,US,61250
2022-12-01,2022,12,US,94079
2023-01-01,2023,1,US,27656
2023-02-01,2023,2,US,7596
2023-03-01,2023,3,US,6033
2023-04-01,2023,4,US,4527
2023-05-01,2023,5,US,4273
2020-01-01,2020,1,01,0
2020-02-01,2020,2,01,0
2020-03-01,2020,3,01,0
2020-04-01,2020,4,01,0
2020-05-01,2020,5,01,0
2020-06-01,2020,6,01,0
2020-07-01,2020,7,01,0
2020-08-01,2020,8,01,0
2020-09-01,2020,9,01,0
2020-10-01,2020,10,01,20
2020-11-01,2020,11,01,60
2020-12-01,2020,12,01,97
2021-01-01,2021,1,01,177
2021-02-01,2021,2,01,110
2021-03-01,2021,3,01,82
2021-04-01,2021,4,01,91
2021-05-01,2021,5,01,63
2021-06-01,2021,6,01,79
2021-07-01,2021,7,01,92
2021-08-01,2021,8,01,101
2021-09-01,2021,9,01,97
2021-10-01,2021,10,01,58
2021-11-01,2021,11,01,92
2021-12-01,2021,12,01,146
2022-01-01,2022,1,01,109
2022-02-01,2022,2,01,67
2022-03-01,2022,3,01,143
2022-04-01,2022,4,01,94
2022-05-01,2022,5,01,83
2022-06-01,2022,6,01,64
2022-07-01,2022,7,01,82
2022-08-01,2022,8,01,68
2022-09-01,2022,9,01,80
2022-10-01,2022,10,01,617
2022-11-01,2022,11,01,1280
2022-12-01,2022,12,01,798
2023-01-01,2023,1,01,338
2023-02-01,2023,2,01,107
2023-03-01,2023,3,01,93
2023-04-01,2023,4,01,67
2023-05-01,2023,5,01,58
2020-03-01,2020,3,02,0
2020-04-01,2020,4,02,0
2020-05-01,2020,5,02,0
2020-06-01,2020,6,02,0
2020-07-01,2020,7,02,0
2020-08-01,2020,8,02,0
2020-09-01,2020,9,02,0
2020-10-01,2020,10,02,0
2020-11-01,2020,11,02,2
2020-12-01,2020,12,02,12
2021-01-01,2021,1,02,0
2021-02-01,2021,2,02,0
2021-03-01,2021,3,02,0
2021-04-01,2021,4,02,17
2021-05-01,2021,5,02,32
2021-06-01,2021,6,02,30
2021-07-01,2021,7,02,32
2021-08-01,2021,8,02,31
2021-09-01,2021,9,02,29
2021-10-01,2021,10,02,1
2021-11-01,2021,11,02,0
